IRREGULAR VERBS
369

Present          Past           P.P.
fall             fell           fallen
eat              ate            eaten
give             gave           given
weave            wove           woven
rise             rose           risen
arise            arose          arisen
ride             rode           ridden
stride           strode         stridden
write            wrote          written
smite            smote          smitten
drive            drove          driven
strive           strove         striven
thrive           throve, thrived thriven, thrived
freeze           froze          frozen
speak            spoke          spoken
break            broke          broken
steal            stole          stolen
choose           chose          chosen
take             took           taken
partake          partook        partaken
wake             woke, waked    woken, waked
forsake          forsook        forsaken
shake            shook          shaken
bear (=carry)    bore           born
bear(=give birth) bore          borne
forbear          forbore        forborne
tear             tore           torn
wear             wore           worn
swear            swore          sworn
bite             bit            bitten
bid              bade, bid      bidden, bid
chide            chid           chidden, chid
slide            slid           slidden, slid
draw             drew           drawn
grow             grew           grown
blow             blew           blown
know             knew           known
